date,pm25,pm10,o3,no2,so2,co,pm25_predicted,pm10_predicted,o3_predicted,no2_predicted,so2_predicted,co_predicted
2022-07-02,31.0,15.0,40.0,14.000000000000002,2.0,2.0,,,,,,
2022-07-03,34.0,13.0,38.0,16.0,2.0,2.0,,,,,,
2022-07-04,26.0,10.0,26.0,14.000000000000002,2.0,2.0,,,,,,
2022-07-05,21.0,9.0,31.999999999999996,13.0,2.0,2.0,,,,,,
2022-07-06,29.0,11.0,31.0,17.0,2.0,2.0,,,,,,
2022-07-07,24.0,11.0,29.0,14.000000000000002,2.0,2.0,,,,,,
2022-07-08,25.0,8.0,24.0,13.0,2.0,2.0,,,,,,
2022-07-09,19.0,6.0,21.0,11.0,2.0,2.0,,,,,,
2022-07-10,13.0,7.0,24.0,12.0,2.0,2.0,,,,,,
2022-07-11,16.0,8.0,22.0,16.0,2.0,2.0,,,,,,
2022-07-12,17.0,11.0,29.0,11.0,2.0,2.0,,,,,,
2022-07-13,13.0,11.0,35.0,15.0,2.0,1.0,,,,,,
2022-07-14,13.0,10.0,24.0,17.0,2.0,2.0,,,,,,
2022-07-15,21.0,9.0,31.0,16.0,2.0,2.0,,,,,,
2022-07-16,19.0,5.0,24.0,14.000000000000002,2.0,2.0,,,,,,
2022-07-17,13.0,10.0,31.999999999999996,17.0,2.0,2.0,,,,,,
2022-07-18,15.0,17.0,40.0,24.0,2.0,2.0,,,,,,
2022-07-19,27.0,19.0,45.0,25.0,2.0,2.0,,,,,,
2022-07-20,31.0,19.0,14.0,32.0,2.0,3.0,,,,,,
2022-07-21,36.0,20.0,53.00000000000001,18.0,2.0,2.0,,,,,,
2022-07-22,28.0,27.0,48.0,19.0,2.0,2.0,,,,,,
2022-07-23,48.0,11.0,36.0,13.0,2.0,2.0,,,,,,
2022-07-24,32.0,15.0,42.0,17.0,2.0,2.0,,,,,,
2022-07-25,30.0,17.0,25.0,24.0,2.0,3.0,,,,,,
2022-07-26,45.0,11.0,33.0,18.0,2.0,3.0,,,,,,
2022-07-27,31.0,12.0,38.0,19.0,2.0,3.0,,,,,,
2022-07-28,29.0,14.0,36.0,18.0,2.0,3.0,,,,,,
2022-07-29,30.0,10.0,24.0,16.0,1.0,3.0,,,,,,
2022-07-30,29.0,7.0,18.0,15.0,1.0,3.0,,,,,,
2022-07-31,23.0,9.0,30.0,21.0,2.0,3.0,,,,,,
2022-08-01,26.0,10.0,35.0,20.0,1.0,3.0,,,,,,
2022-08-02,27.0,11.0,37.0,19.0,2.0,3.0,,,,,,
2022-08-03,31.0,11.0,41.0,20.0,2.0,3.0,,,,,,
2022-08-04,27.0,13.0,44.0,16.0,2.0,3.0,,,,,,
2022-08-05,25.0,15.0,39.0,22.0,2.0,3.0,,,,,,
2022-08-06,34.0,6.0,30.0,14.000000000000002,1.0,2.0,,,,,,
2022-08-07,16.0,10.0,21.0,20.0,2.0,3.0,,,,,,
